,Problem Name,Graph-based?,Algo # (within problem),Name/Source,Runtime,10^10 compute (regular/sparse),10^10 compute (dense),10^15 compute (regular/sparse),10^15 compute (dense),10^20 compute (regular/sparse),10^20 compute (dense),10^25 compute (regular/sparse),10^25 compute (dense),10^30 compute (regular/sparse),10^30 compute (dense),Approx factor,(approx factor relative position),"Approx (10^10, regular/sparse)","Approx (10^10, dense)","Approx (10^15, regular/sparse)","Approx (10^15, dense)","Approx (10^20, regular/sparse)","Approx (10^20, dense)","Approx (10^25, regular/sparse)","Approx (10^25, dense)","Approx (10^30, regular/sparse)","Approx (10^30, dense)"
73,Longest Path Problem,Y,3.0,,,10.0,9.0,17.0,15.0,23.0,21.0,29.0,28.0,36.0,34.0,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
74,Longest Path Problem,Y,4.0,,,2154.0,316.0,100000.0,5623.0,4641000.0,100000.0,215400000.0,1778000.0,10000000000.0,31620000.0,(n log log n)/log n,7.985,572.0,96.0,21224.0,1404.0,825725.0,21224.0,33164105.0,329457.0,1362215689.0,5216377.0
75,Longest Path Problem,Y,5.0,,,100000.0,100000.0,31620000.0,31620000.0,10000000000.0,10000000000.0,3162000000000.0,3162000000000.0,1000000000000000.0,1000000000000000.0,(n log log n)/log n,7.985,21224.0,21224.0,5216377.0,5216377.0,1362215689.0,1362215689.0,369101228387.0,369101228387.0,102553796517010.0,102553796517010.0
76,Longest Path Problem,Y,6.0,,,473.0,125.0,11874.0,1519.0,308589.0,18973.0,8178000.0,240532.0,219400000.0,3078000.0,n/log n,7.98,77.0,26.0,1266.0,207.0,24414.0,1926.0,513792.0,19412.0,11423271.0,206027.0
77,Longest Path Problem,Y,7.0,,,2.0,2.0,4.0,4.0,6.0,6.0,9.0,9.0,15.0,14.0,n/log n,7.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
78,Longest Path Problem,Y,8.0,,,100.0,100.0,1000.0,1000.0,10000.0,10000.0,100000.0,100000.0,1000000.0,1000000.0,3n log^2(log n)/log^2 n,7.9775,33.0,33.0,235.0,235.0,1743.0,1743.0,13513.0,13513.0,108370.0,108370.0
79,Longest Path Problem,Y,9.0,,,6.0,6.0,15.0,15.0,40.0,40.0,102.0,102.0,264.0,264.0,(4n log log n)/log^2 n,7.975,4.36,4.36,8.151,8.151,15.348,15.348,29.211,29.211,58.367,58.367
80,Longest Path Problem,Y,10.0,,,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,(4n log log n)/log^2 n,7.975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
81,Longest Path Problem,Y,11.0,,,24.0,16.0,128.0,70.0,658.0,293.0,3383.0,1230.0,17401.0,5158.0,O(n/e^sqrt(log n/24 log log n)),7.93,17.11,11.427,89.501,49.337,449.875,202.562,2263.131,833.87,11404.266,3431.938
82,Longest Path Problem,Y,12.0,,,80.0,21.0,719.0,100.0,6449.0,464.0,57797.0,2154.0,517947.0,10000.0,O(n/e^sqrt(0.2 log n)),7.9,31.37,9.623,228.35,38.301,1714.997,153.2,13145.501,623.984,102276.01,2573.732
83,The Set-Covering Problem,N,1.0,,,28.0,,44.0,,60.0,,76.0,,93.0,,1,1.0,1.0,,1.0,,1.0,,1.0,,1.0,
84,The Set-Covering Problem,N,2.0,,,10000000000.0,,1000000000000000.0,,1e+20,,1e+25,,1e+30,,1+ln(d),5.0007,24.026,,35.539,,47.052,,58.565,,70.078,
86,The Set-Covering Problem,N,4.0,,,4641000.0,,10000000000.0,,21540000000000.0,,4.641e+16,,1e+20,,H_d-1/6,5.0005,15.761,,23.436,,31.111,,38.787,,46.462,
87,The Set-Covering Problem,N,5.0,,,4641000.0,,10000000000.0,,21540000000000.0,,4.641e+16,,1e+20,,H_d-11/42,5.0004,15.666,,23.341,,31.016,,38.691,,46.367,
88,The Set-Covering Problem,N,6.0,,,21.0,,100.0,,464.0,,2154.0,,10000.0,,H_d-1/2,5.0003,3.122,,4.682,,6.217,,7.752,,9.287,
89,The Set-Covering Problem,N,7.0,,,8.0,,26.0,,80.0,,240.0,,719.0,,H_d-98/195,5.0002,2.154,,3.333,,4.456,,5.555,,6.652,
90,The Set-Covering Problem,N,8.0,,,6.0,,17.0,,46.0,,121.0,,316.0,,H_d-0.5277,5.0001,1.841,,2.883,,3.878,,4.845,,5.805,
91,The Set-Covering Problem,N,9.0,,,2.0,,4.0,,7.0,,12.0,,21.0,,H_d-0.5902,4.9999,0.68,,1.373,,1.933,,2.472,,3.031,
